Team,City,Latitude,Longitude
Atlanta Hawks,"Atlanta, GA",33.749,-84.388
Boston Celtics,"Boston, MA",42.3601,-71.0589
Brooklyn Nets,"Brooklyn, NY",40.6782,-73.9442
Charlotte Hornets,"Charlotte, NC",35.2271,-80.8431
Chicago Bulls,"Chicago, IL",41.8781,-87.6298
Cleveland Cavaliers,"Cleveland, OH",41.4993,-81.6944
Dallas Mavericks,"Dallas, TX",32.7767,-96.797
Denver Nuggets,"Denver, CO",39.7392,-104.9903
Detroit Pistons,"Detroit, MI",42.3314,-83.0458
Golden State Warriors,"San Francisco, CA",37.7749,-122.4194
Houston Rockets,"Houston, TX",29.7604,-95.3698
Indiana Pacers,"Indianapolis, IN",39.7684,-86.1581
Los Angeles Clippers,"Los Angeles, CA",34.0522,-118.2437
Los Angeles Lakers,"Los Angeles, CA",34.0522,-118.2437
Memphis Grizzlies,"Memphis, TN",35.1495,-90.049
Miami Heat,"Miami, FL",25.7617,-80.1918
Milwaukee Bucks,"Milwaukee, WI",43.0389,-87.9065
Minnesota Timberwolves,"Minneapolis, MN",44.9778,-93.265
New Orleans Pelicans,"New Orleans, LA",29.9511,-90.0715
New York Knicks,"New York, NY",40.7128,-74.006
Oklahoma City Thunder,"Oklahoma City, OK",35.4676,-97.5164
Orlando Magic,"Orlando, FL",28.5383,-81.3792
Philadelphia 76ers,"Philadelphia, PA",39.9526,-75.1652
Phoenix Suns,"Phoenix, AZ",33.4484,-112.074
Portland Trail Blazers,"Portland, OR",45.5152,-122.6784
Sacramento Kings,"Sacramento, CA",38.5816,-121.4944
San Antonio Spurs,"San Antonio, TX",29.4241,-98.4936
Toronto Raptors,"Toronto, ON, CAN",43.65107,-79.347015
Utah Jazz,"Salt Lake City, UT",40.7608,-111.891
Washington Wizards,"Washington, D.C.",38.9072,-77.0369
